Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     28.58     0.00   118800     0.00     0.00  x264_mb_analyse_init
  0.00     28.58     0.00   118800     0.00     0.00  x264_ratecontrol_mb
  0.00     28.58     0.00   118538     0.00     0.00  x264_cabac_encode_terminal
  0.00     28.58     0.00   118008     0.00     0.00  x264_cabac_mb_skip
  0.00     28.58     0.00    91586     0.00     0.00  x264_pixel_satd_4x8
  0.00     28.58     0.00    89323     0.00     0.00  x264_macroblock_encode_skip
  0.00     28.58     0.00    88297     0.00     0.00  x264_pixel_satd_16x8
  0.00     28.58     0.00    84804     0.00     0.00  x264_mb_analyse_inter_direct
  0.00     28.58     0.00    77724     0.00     0.00  x264_mb_cache_mv_p8x8
  0.00     28.58     0.00    68188     0.00     0.00  x264_cabac_mb8x8_mvd
  0.00     28.58     0.00    66492     0.00     0.00  add8x8_idct
  0.00     28.58     0.00    65311     0.00     0.00  predict_4x4_mode_available
  0.00     28.58     0.00    60192     0.00     0.00  prefetch_ref_null
  0.00     28.58     0.00    54763     0.00     0.00  predict_4x4_dc
  0.00     28.58     0.00    53334     0.00     0.00  sub16x16_dct8
  0.00     28.58     0.00    49454     0.00     0.00  zigzag_scan_8x8_frame
  0.00     28.58     0.00    47801     0.00     0.00  x264_free
  0.00     28.58     0.00    46664     0.00     0.00  predict_4x4_v
  0.00     28.58     0.00    43349     0.00     0.00  x264_pixel_sad_x4_16x8
  0.00     28.58     0.00    42825     0.00     0.00  x264_pixel_sad_x4_8x16
  0.00     28.58     0.00    42794     0.00     0.00  predict_4x4_h
  0.00     28.58     0.00    41881     0.00     0.00  x264_cabac_mb_qp_delta
  0.00     28.58     0.00    41551     0.00     0.00  predict_4x4_vl
  0.00     28.58     0.00    41417     0.00     0.00  predict_4x4_ddl
  0.00     28.58     0.00    41271     0.00     0.00  predict_4x4_vr
  0.00     28.58     0.00    41096     0.00     0.00  x264_mb_encode_i4x4
  0.00     28.58     0.00    40827     0.00     0.00  predict_4x4_ddr
  0.00     28.58     0.00    40542     0.00     0.00  predict_4x4_hu
  0.00     28.58     0.00    40457     0.00     0.00  predict_4x4_hd
  0.00     28.58     0.00    37329     0.00     0.00  x264_cabac_mb_mvd
  0.00     28.58     0.00    35022     0.00     0.00  x264_coeff_last15
  0.00     28.58     0.00    33556     0.00     0.00  predict_8x8_dc
  0.00     28.58     0.00    30318     0.00     0.00  predict_16x16_mode_available
  0.00     28.58     0.00    30318     0.00     0.00  x264_intra_rd
  0.00     28.58     0.00    30318     0.00     0.00  x264_mb_analyse_intra
  0.00     28.58     0.00    30281     0.00     0.00  predict_16x16_v
  0.00     28.58     0.00    30214     0.00     0.00  predict_8x8_v
  0.00     28.58     0.00    30096     0.00     0.00  x264_mb_predict_mv_pskip
  0.00     28.58     0.00    30050     0.00     0.00  predict_16x16_h
  0.00     28.58     0.00    29870     0.00     0.00  predict_16x16_dc
  0.00     28.58     0.00    29536     0.00     0.00  deblock_v_chroma_c
  0.00     28.58     0.00    29134     0.00     0.00  x264_decimate_score15
  0.00     28.58     0.00    28907     0.00     0.00  x264_pixel_sad_x3_16x8
  0.00     28.58     0.00    28691     0.00     0.00  x264_pixel_sad_x3_8x16
  0.00     28.58     0.00    28555     0.00     0.00  predict_8x8_h
  0.00     28.58     0.00    26653     0.00     0.00  x264_macroblock_write_cabac
  0.00     28.58     0.00    26615     0.00     0.00  x264_cabac_mb_cbp_chroma
  0.00     28.58     0.00    26615     0.00     0.00  x264_cabac_mb_cbp_luma
  0.00     28.58     0.00    26578     0.00     0.00  x264_coeff_last64
  0.00     28.58     0.00    26508     0.00     0.00  x264_cabac_mb_ref
  0.00     28.58     0.00    23933     0.00     0.00  x264_coeff_last4
  0.00     28.58     0.00    23134     0.00     0.00  x264_mb_encode_i8x8
  0.00     28.58     0.00    20668     0.00     0.00  x264_cabac_mb_intra4x4_pred_mode
  0.00     28.58     0.00    20201     0.00     0.00  deblock_v_luma_c
  0.00     28.58     0.00    18939     0.00     0.00  x264_mb_analyse_intra_chroma
  0.00     28.58     0.00    15532     0.00     0.00  predict_8x8chroma_mode_available
  0.00     28.58     0.00    15431     0.00     0.00  x264_macroblock_encode_pskip
  0.00     28.58     0.00    14861     0.00     0.00  x264_refine_bidir
  0.00     28.58     0.00    14665     0.00     0.00  x264_mb_analyse_inter_p8x8_mixed_ref
  0.00     28.58     0.00    14665     0.00     0.00  x264_mb_analyse_p_rd
  0.00     28.58     0.00    12109     0.00     0.00  x264_cabac_mb_qp_delta
  0.00     28.58     0.00     9624     0.00     0.00  plane_expand_border
  0.00     28.58     0.00     6052     0.00     0.00  x264_cabac_mb_intra4x4_pred_mode
  0.00     28.58     0.00     5700     0.00     0.00  x264_fdec_filter_row
  0.00     28.58     0.00     4911     0.00     0.00  x264_mb_analyse_inter_p16x8
  0.00     28.58     0.00     4911     0.00     0.00  x264_mb_analyse_inter_p8x16
  0.00     28.58     0.00     4865     0.00     0.00  x264_malloc
  0.00     28.58     0.00     4844     0.00     0.00  pixel_avg_16x8
  0.00     28.58     0.00     4555     0.00     0.00  pixel_avg_8x16
  0.00     28.58     0.00     3467     0.00     0.00  x264_cabac_mb_intra_chroma_pred_mode
  0.00     28.58     0.00     2338     0.00     0.00  x264_mb_cache_mv_b16x8
  0.00     28.58     0.00     2236     0.00     0.00  x264_mb_cache_mv_b8x16
  0.00     28.58     0.00     2020     0.00     0.00  bs_write_ue_big
  0.00     28.58     0.00     1500     0.00     0.00  x264_cabac_encode_ue_bypass
  0.00     28.58     0.00     1404     0.00     0.00  x264_frame_expand_border
  0.00     28.58     0.00     1404     0.00     0.00  x264_frame_expand_border_filtered
  0.00     28.58     0.00     1404     0.00     0.00  x264_frame_filter
  0.00     28.58     0.00     1179     0.00     0.00  dct4x4dc
  0.00     28.58     0.00     1179     0.00     0.00  x264_mb_encode_i16x16
  0.00     28.58     0.00     1155     0.00     0.00  dequant_4x4_dc
  0.00     28.58     0.00     1155     0.00     0.00  idct4x4dc
  0.00     28.58     0.00     1110     0.00     0.00  predict_8x8c_dc_top
  0.00     28.58     0.00     1051     0.00     0.00  x264_frame_push
  0.00     28.58     0.00     1006     0.00     0.00  add16x16_idct
  0.00     28.58     0.00      976     0.00     0.00  predict_8x8_dc_top
  0.00     28.58     0.00      930     0.00     0.00  memzero_aligned
  0.00     28.58     0.00      930     0.00     0.00  x264_me_refine_bidir_satd
  0.00     28.58     0.00      902     0.00     0.00  predict_8x8c_dc_left
  0.00     28.58     0.00      900     0.00     0.00  plane_copy
  0.00     28.58     0.00      900     0.00     0.00  x264_thread_sync_stat
  0.00     28.58     0.00      807     0.00     0.00  x264_cabac_mb_intra_chroma_pred_mode
  0.00     28.58     0.00      671     0.00     0.00  x264_frame_shift
  0.00     28.58     0.00      560     0.00     0.00  pixel_avg_8x4
  0.00     28.58     0.00      544     0.00     0.00  pixel_avg_4x8
  0.00     28.58     0.00      502     0.00     0.00  predict_8x8_dc_left
  0.00     28.58     0.00      495     0.00     0.00  predict_16x16_dc_top
  0.00     28.58     0.00      450     0.00     0.00  x264_mb_analyse_inter_b16x8
  0.00     28.58     0.00      438     0.00     0.00  x264_mb_analyse_inter_b8x16
