Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     22.24     0.00     1306     0.00     0.00  x264_malloc
  0.00     22.24     0.00     1252     0.00     0.00  predict_16x16_dc_top
  0.00     22.24     0.00      835     0.00     0.01  x264_macroblock_probe_skip
  0.00     22.24     0.00      396     0.00     0.01  x264_mb_cache_fenc_satd
  0.00     22.24     0.00      225     0.00     0.00  plane_copy
  0.00     22.24     0.00      225     0.00     0.00  x264_thread_sync_stat
  0.00     22.24     0.00      224     0.00     0.00  x264_frame_push
  0.00     22.24     0.00      221     0.00     0.00  x264_frame_shift
  0.00     22.24     0.00      174     0.00     0.00  predict_8x8c_dc_128
  0.00     22.24     0.00      150     0.00     0.00  x264_frame_pop_unused
  0.00     22.24     0.00      146     0.00     0.00  x264_frame_push_unused
  0.00     22.24     0.00      115     0.00   193.39  Encode_frame
  0.00     22.24     0.00      115     0.00   193.39  x264_encoder_encode
  0.00     22.24     0.00      112     0.00     0.00  predict_4x4_dc_128
  0.00     22.24     0.00       84     0.00     0.00  x264_log
  0.00     22.24     0.00       78     0.00     0.00  write_nalu_bsf
  0.00     22.24     0.00       78     0.00     0.00  x264_nal_encode
  0.00     22.24     0.00       77     0.00     0.00  x264_mdate
  0.00     22.24     0.00       76     0.00     0.00  predict_16x16_dc_128
  0.00     22.24     0.00       76     0.00    16.12  x264_slicetype_analyse
  0.00     22.24     0.00       75     0.00     0.00  clip_qscale
  0.00     22.24     0.00       75     0.00     0.73  rate_estimate_qscale
  0.00     22.24     0.00       75     0.00     0.00  read_frame_yuv
  0.00     22.24     0.00       75     0.00     0.51  scenecut
  0.00     22.24     0.00       75     0.00     0.00  set_eop_bsf
  0.00     22.24     0.00       75     0.00     0.00  x264_encoder_frame_end
  0.00     22.24     0.00       75     0.00     0.00  x264_frame_copy_picture
  0.00     22.24     0.00       75     0.00     0.00  x264_frame_expand_border_lowres
  0.00     22.24     0.00       75     0.00     0.94  x264_frame_init_lowres
  0.00     22.24     0.00       75     0.00     0.00  x264_macroblock_slice_init
  0.00     22.24     0.00       75     0.00     0.00  x264_macroblock_tree_finish
  0.00     22.24     0.00       75     0.00     0.00  x264_noise_reduction_update
  0.00     22.24     0.00       75     0.00     0.00  x264_ratecontrol_end
  0.00     22.24     0.00       75     0.00     0.73  x264_ratecontrol_start
  0.00     22.24     0.00       75     0.00     0.73  x264_rc_analyse_slice
  0.00     22.24     0.00       75     0.00    16.12  x264_slicetype_decide
  0.00     22.24     0.00       45     0.00     0.00  x264_frame_delete
  0.00     22.24     0.00       45     0.00     0.00  x264_frame_new
  0.00     22.24     0.00       41     0.00     0.00  x264_encoder_delayed_frames
  0.00     22.24     0.00        9     0.00     0.00  x264_log_default
  0.00     22.24     0.00        5     0.00     0.00  x264_validate_levels
  0.00     22.24     0.00        3     0.00     0.00  x264_nal_end
  0.00     22.24     0.00        3     0.00     0.00  x264_nal_start
  0.00     22.24     0.00        2     0.00     0.00  x264_print_intra
  0.00     22.24     0.00        2     0.00     0.00  x264_sps_init
  0.00     22.24     0.00        1     0.00     0.00  close_file_bsf
