Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.02    331.06     0.08  4725772     0.00     0.00  x264_pixel_sad_x3_16x16
  0.02    331.14     0.08  2685486     0.00     0.00  predict_4x4_mode_available
  0.02    331.22     0.08   903503     0.00     0.00  x264_mb_encode_i8x8
  0.02    331.30     0.08   261059     0.00     0.00  x264_mb_analyse_p_rd
  0.02    331.38     0.07  2852086     0.00     0.00  sub16x16_dct
  0.02    331.45     0.07  2845319     0.00     0.00  x264_cabac_mb_cbp_chroma
  0.02    331.52     0.07  2159525     0.00     0.00  predict_4x4_dc
  0.02    331.60     0.07  3597347     0.00     0.00  x264_pixel_satd_4x8
  0.02    331.67     0.07  1637370     0.00     0.00  predict_8x8c_h
  0.02    331.74     0.07   787954     0.00     0.00  x264_coeff_last64
  0.02    331.80     0.07  1747916     0.00     0.00  predict_4x4_ddl
  0.02    331.86     0.06  1786902     0.00     0.00  predict_8x8c_dc
  0.02    331.92     0.06  1759088     0.00     0.00  predict_4x4_ddr
  0.02    331.98     0.06  1512764     0.00     0.00  x264_mb_cache_mv_p8x8
  0.02    332.04     0.06  1285292     0.00     0.00  x264_cabac_mb8x8_mvd
  0.02    332.10     0.06  1281759     0.00     0.00  predict_8x8_h
  0.02    332.16     0.06   471481     0.00     0.00  x264_mb_analyse_intra_chroma
  0.02    332.22     0.06   282467     0.00     0.00  add8x8_idct_dc
  0.02    332.28     0.06    38900     0.00     0.00  idct4x4dc
  0.02    332.34     0.06     2000     0.00     0.00  x264_adaptive_quant_frame
  0.02    332.39     0.06  3436986     0.00     0.00  add8x8_idct
  0.02    332.45     0.06  2165056     0.00     0.00  x264_pixel_satd_16x8
  0.02    332.50     0.06    67142     0.00     0.00  quant_4x4_dc
  0.02    332.56     0.06     2000     0.00     0.00  x264_cabac_encode_init
  0.01    332.61     0.05 11814067     0.00     0.00  x264_pixel_sa8d_8x8
  0.01    332.66     0.05  1818834     0.00     0.00  predict_4x4_hd
  0.01    332.71     0.05  1644245     0.00     0.00  x264_mb_encode_i4x4
  0.01    332.76     0.05   792000     0.00     0.00  x264_ratecontrol_mb
  0.01    332.81     0.05   790185     0.00     0.00  x264_mb_analyse_load_costs
  0.01    332.86     0.05   709422     0.00     0.00  x264_mb_analyse_b_rd
  0.01    332.91     0.05   613842     0.00     0.00  x264_cabac_mb_mvd
  0.01    332.96     0.05   525492     0.00     0.00  x264_mb_predict_mv_direct16x16
  0.01    333.01     0.05   469652     0.00     0.00  predict_16x16_v
  0.01    333.06     0.05   458128     0.00     0.00  x264_cabac_mb_type
  0.01    333.11     0.05    80684     0.00     0.00  plane_expand_border
  0.01    333.16     0.05     9343     0.00     0.00  x264_me_refine_bidir_satd
  0.01    333.20     0.04  3850148     0.00     0.00  x264_pixel_hadamard_ac_16x16
  0.01    333.24     0.04  1562162     0.00     0.00  predict_8x8c_v
