Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00    416.11     0.00        1     0.00     0.00  x264_predict_16x16_init
  0.00    416.11     0.00        1     0.00     0.00  x264_predict_4x4_init
  0.00    416.11     0.00        1     0.00     0.00  x264_predict_8x8_init
  0.00    416.11     0.00        1     0.00     0.00  x264_predict_8x8c_init
  0.00    416.11     0.00        1     0.00     0.00  x264_quant_init
  0.00    416.11     0.00        1     0.00     0.00  x264_ratecontrol_delete
  0.00    416.11     0.00        1     0.00     0.00  x264_ratecontrol_new
  0.00    416.11     0.00        1     0.00     0.00  x264_ratecontrol_summary
  0.00    416.11     0.00        1     0.00     0.00  x264_rdo_init
  0.00    416.11     0.00        1     0.00     0.00  x264_reduce_fraction
  0.00    416.11     0.00        1     0.00     0.00  x264_sei_version_write
  0.00    416.11     0.00        1     0.00     0.00  x264_set_aspect_ratio
  0.00    416.11     0.00        1     0.00     0.00  x264_validate_parameters
  0.00    416.11     0.00        1     0.00     0.00  x264_zigzag_init

			Call graph


granularity: each sample hit covers 4 byte(s) for 0.00% of 416.11 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     91.5    0.33  380.42                 x264_slices_write [1]
                1.45  349.67 1321311/1321311     x264_macroblock_analyse [2]
                0.73   14.34 1297779/4476451     x264_macroblock_encode [9]
                0.01   11.23   17261/17261       x264_fdec_filter_row [33]
                0.66    0.48 1350566/1350566     x264_macroblock_cache_load [74]
                0.35    0.73 1028988/1028988     x264_macroblock_write_cavlc [76]
                0.34    0.34 1326642/1326642     x264_macroblock_cache_save [89]
                0.09    0.00 1305332/1305332     x264_ratecontrol_mb [132]
                0.00    0.00     356/361         x264_nal_end [216]
                0.00    0.00     339/344         x264_nal_start [227]
-----------------------------------------------
                1.45  349.67 1321311/1321311     x264_slices_write [1]
[2]     84.4    1.45  349.67 1321311         x264_macroblock_analyse [2]
                3.92  205.22 11958870/16694799     x264_me_search_ref [3]
                0.75   72.55 1291667/1291667     x264_mb_analyse_inter_p16x16 [6]
                0.14   38.14 1077946/1077946     x264_mb_analyse_p_rd [13]
                1.42   16.06 1086788/1086788     x264_mb_analyse_intra [26]
                0.02    7.13 1067571/1067571     x264_intra_rd [37]
                0.17    2.84 1066804/1542193     x264_mb_analyse_intra_chroma [43]
                0.67    0.00 11867784/19743981     x264_mb_predict_mv [75]
                0.10    0.34 1061306/4183702     x264_analyse_update_cache [63]
                0.00    0.06   11880/11880       x264_mb_cache_fenc_satd [141]
                0.04    0.00 1304651/1304651     x264_adaptive_quant [143]
                0.03    0.00 1315239/1315611     x264_ratecontrol_qp [147]
                0.02    0.00 1073799/1073799     x264_mb_analyse_transform_rd [158]
                0.02    0.00 1280711/1281411     x264_mb_analyse_load_costs [157]
                0.01    0.00 2586223/2586223     prefetch_ref_null [172]
                0.00    0.00   49198/49198       x264_frame_cond_wait [198]
-----------------------------------------------
                0.43   22.30 1299549/16694799     x264_slicetype_mb_cost [21]
                1.13   58.97 3436380/16694799     x264_mb_analyse_inter_p16x16 [6]
                3.92  205.22 11958870/16694799     x264_macroblock_analyse [2]
[3]     70.2    5.47  286.49 16694799         x264_me_search_ref [3]
                6.21  158.43 16636974/16636974     refine_subpel [4]
                0.13   19.17 6775571/10331409     x264_pixel_sad_x4_16x16 [22]
                0.53   18.41 23386054/35343093     x264_pixel_sad_x4_8x8 [23]
               18.75    0.00 26600989/89478775     x264_pixel_sad_16x16 [7]
                0.20   15.08 7116667/7116667     x264_pixel_sad_x3_16x16 [27]
                0.54   14.26 24404406/24404406     x264_pixel_sad_x3_8x8 [29]
               13.47    0.00 52061598/181085429     get_ref [11]
                9.82    0.00 50411224/270695970     x264_pixel_sad_8x8 [8]
                0.02    2.48 1592314/2400778     x264_pixel_sad_x4_16x8 [44]
                0.06    2.32 1607617/2422591     x264_pixel_sad_x4_8x16 [47]
