Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     27.02     0.00    59550     0.00     0.00  x264_ratecontrol_qp
  0.00     27.02     0.00    59400     0.00     0.00  ac_energy_mb
  0.00     27.02     0.00    59400     0.00     0.00  prefetch_ref_null
  0.00     27.02     0.00    59400     0.00     0.00  x264_bitstream_check_buffer
  0.00     27.02     0.00    59290     0.00     0.00  x264_cabac_encode_terminal
  0.00     27.02     0.00    50318     0.00     0.00  x264_mb_encode_i8x8
  0.00     27.02     0.00    49237     0.00     0.00  predict_16x16_mode_available
  0.00     27.02     0.00    49237     0.00     0.00  x264_intra_rd
  0.00     27.02     0.00    48390     0.00     0.00  x264_cabac_mb_type
  0.00     27.02     0.00    47843     0.00     0.00  predict_16x16_h
  0.00     27.02     0.00    47801     0.00     0.00  x264_free
  0.00     27.02     0.00    47101     0.00     0.00  predict_16x16_v
  0.00     27.02     0.00    44727     0.00     0.00  predict_16x16_dc
  0.00     27.02     0.00    40660     0.00     0.00  x264_coeff_last4
  0.00     27.02     0.00    38677     0.00     0.00  x264_mb_analyse_intra_chroma
  0.00     27.02     0.00    36899     0.00     0.00  x264_mb_analyse_b_rd
  0.00     27.02     0.00    35791     0.00     0.00  x264_cabac_mb_qp_delta
  0.00     27.02     0.00    33600     0.00     0.00  x264_cabac_mb8x8_mvd
  0.00     27.02     0.00    31225     0.00     0.00  add8x8_idct_dc
  0.00     27.02     0.00    29700     0.00     0.00  x264_mb_predict_mv_pskip
  0.00     27.02     0.00    29304     0.00     0.00  x264_mb_analyse_inter_direct
  0.00     27.02     0.00    29304     0.00     0.00  x264_mb_predict_mv_direct16x16
  0.00     27.02     0.00    28953     0.00     0.00  predict_8x8chroma_mode_available
  0.00     27.02     0.00    28272     0.00     0.00  x264_mb_analyse_p_rd
  0.00     27.02     0.00    20569     0.00     0.00  x264_refine_bidir
  0.00     27.02     0.00    17964     0.00     0.00  x264_mb_analyse_inter_p16x8
  0.00     27.02     0.00    17964     0.00     0.00  x264_mb_analyse_inter_p8x16
  0.00     27.02     0.00    15796     0.00     0.00  x264_cabac_encode_ue_bypass
  0.00     27.02     0.00    12438     0.00     0.00  x264_mb_cache_mv_b16x8
  0.00     27.02     0.00    12244     0.00     0.00  x264_cabac_mb_intra4x4_pred_mode
  0.00     27.02     0.00    11930     0.00     0.00  x264_mb_cache_mv_b8x16
  0.00     27.02     0.00    10695     0.00     0.00  x264_macroblock_encode_skip
  0.00     27.02     0.00     9056     0.00     0.00  x264_cabac_mb_intra_chroma_pred_mode
  0.00     27.02     0.00     7934     0.00     0.00  x264_slicetype_frame_cost
  0.00     27.02     0.00     7692     0.00     0.00  predict_4x4_dc_top
  0.00     27.02     0.00     7118     0.00     0.00  predict_8x8c_dc_top
  0.00     27.02     0.00     5224     0.00     0.00  pixel_avg_8x4
  0.00     27.02     0.00     5141     0.00     0.00  memzero_aligned
  0.00     27.02     0.00     4867     0.00     0.00  x264_malloc
  0.00     27.02     0.00     4632     0.00     0.00  predict_8x8_dc_top
  0.00     27.02     0.00     4162     0.00     0.00  pixel_avg_4x8
  0.00     27.02     0.00     3748     0.00     0.00  predict_8x8c_dc_left
  0.00     27.02     0.00     3670     0.00     0.00  predict_8x8_dc_left
  0.00     27.02     0.00     3274     0.00     0.00  deblock_v_chroma_intra_c
  0.00     27.02     0.00     3139     0.00     0.00  x264_macroblock_probe_skip
  0.00     27.02     0.00     2984     0.00     0.00  deblock_h_chroma_intra_c
  0.00     27.02     0.00     2850     0.00     0.00  x264_fdec_filter_row
  0.00     27.02     0.00     2687     0.00     0.00  predict_16x16_dc_top
  0.00     27.02     0.00     2573     0.00     0.00  x264_mb_analyse_inter_b16x8
  0.00     27.02     0.00     2474     0.00     0.00  dct4x4dc
  0.00     27.02     0.00     2474     0.00     0.00  x264_mb_encode_i16x16
  0.00     27.02     0.00     2456     0.00     0.00  x264_mb_analyse_inter_b8x16
  0.00     27.02     0.00     2439     0.00     0.00  predict_16x16_dc_left
  0.00     27.02     0.00     2434     0.00     0.00  quant_4x4_dc
  0.00     27.02     0.00     2390     0.00     0.00  dequant_4x4_dc
  0.00     27.02     0.00     2390     0.00     0.00  idct4x4dc
  0.00     27.02     0.00     2296     0.00     0.00  predict_4x4_dc_left
  0.00     27.02     0.00     2093     0.00     0.00  add16x16_idct
  0.00     27.02     0.00     1696     0.00     0.00  deblock_v_luma_intra_c
  0.00     27.02     0.00     1553     0.00     0.00  deblock_h_luma_intra_c
  0.00     27.02     0.00     1428     0.00     0.00  x264_macroblock_encode_pskip
  0.00     27.02     0.00     1368     0.00     0.00  x264_frame_expand_border
  0.00     27.02     0.00     1368     0.00     0.00  x264_frame_expand_border_filtered
  0.00     27.02     0.00     1368     0.00     0.00  x264_frame_filter
  0.00     27.02     0.00     1349     0.00     0.00  x264_cabac_mb_intra_chroma_pred_mode
  0.00     27.02     0.00      973     0.00     0.00  bs_write_ue_big
  0.00     27.02     0.00      597     0.00     0.00  x264_frame_push
  0.00     27.02     0.00      450     0.00     0.00  plane_copy
  0.00     27.02     0.00      450     0.00     0.00  x264_thread_sync_stat
  0.00     27.02     0.00      372     0.00     0.00  x264_frame_shift
  0.00     27.02     0.00      314     0.00     0.00  add16x16_idct_dc
  0.00     27.02     0.00      309     0.00     0.00  predict_8x8_dc_128
  0.00     27.02     0.00      308     0.00     0.00  predict_8x8c_dc_128
  0.00     27.02     0.00      226     0.00     0.00  get_zone
  0.00     27.02     0.00      226     0.00     0.00  x264_frame_pop_unused
  0.00     27.02     0.00      222     0.00     0.00  x264_frame_push_unused
  0.00     27.02     0.00      190     0.00     0.14  x264_encoder_encode
  0.00     27.02     0.00      181     0.00     0.00  x264_frame_pop
  0.00     27.02     0.00      164     0.00     0.00  x264_log
  0.00     27.02     0.00      153     0.00     0.00  write_nalu_bsf
  0.00     27.02     0.00      153     0.00     0.00  x264_lowres_context_init
  0.00     27.02     0.00      153     0.00     0.00  x264_nal_encode
  0.00     27.02     0.00      153     0.00     0.00  x264_nal_end
  0.00     27.02     0.00      153     0.00     0.00  x264_nal_start
  0.00     27.02     0.00      152     0.00     0.00  x264_mdate
  0.00     27.02     0.00      151     0.00     0.00  predict_16x16_dc_128
  0.00     27.02     0.00      151     0.00     0.00  scenecut
  0.00     27.02     0.00      150     0.00     0.00  accum_p_qp_update
  0.00     27.02     0.00      150     0.00     0.00  predict_size
  0.00     27.02     0.00      150     0.00     0.00  rate_estimate_qscale
  0.00     27.02     0.00      150     0.00     0.00  read_frame_yuv
  0.00     27.02     0.00      150     0.00     0.00  set_eop_bsf
  0.00     27.02     0.00      150     0.00     0.00  setup_inverse_delta_pocs
  0.00     27.02     0.00      150     0.00     0.00  update_predictor
  0.00     27.02     0.00      150     0.00     0.00  update_vbv
  0.00     27.02     0.00      150     0.00     0.00  x264_adaptive_quant_frame
  0.00     27.02     0.00      150     0.00     0.00  x264_cabac_encode_flush
  0.00     27.02     0.00      150     0.00     0.00  x264_cabac_encode_init
  0.00     27.02     0.00      150     0.00     0.00  x264_encoder_frame_end
  0.00     27.02     0.00      150     0.00     0.00  x264_frame_copy_picture
  0.00     27.02     0.00      150     0.00     0.00  x264_frame_expand_border_lowres
  0.00     27.02     0.00      150     0.00     0.00  x264_frame_init_lowres
  0.00     27.02     0.00      150     0.00     0.00  x264_macroblock_slice_init
  0.00     27.02     0.00      150     0.00     0.00  x264_noise_reduction_update
