Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     10.25     0.00    16789     0.00     0.01  x264_macroblock_probe_skip
  0.00     10.25     0.00    16674     0.00     0.00  predict_16x16_v
  0.00     10.25     0.00    16515     0.00     0.00  bs_write_te
  0.00     10.25     0.00    16127     0.00     0.00  predict_16x16_dc
  0.00     10.25     0.00    11457     0.00     0.00  bs_write1
  0.00     10.25     0.00     3344     0.00     0.00  bs_write_ue
  0.00     10.25     0.00     2454     0.00     0.00  predict_8x8c_dc_left
  0.00     10.25     0.00     2257     0.00     0.43  x264_slicetype_frame_cost
  0.00     10.25     0.00     1425     0.00     0.43  x264_fdec_filter_row
  0.00     10.25     0.00     1350     0.00     0.01  x264_frame_expand_border
  0.00     10.25     0.00     1350     0.00     0.01  x264_frame_expand_border_filtered
  0.00     10.25     0.00     1350     0.00     0.39  x264_frame_filter
  0.00     10.25     0.00     1306     0.00     0.00  x264_malloc
  0.00     10.25     0.00     1230     0.00     0.00  predict_8x8c_dc_top
  0.00     10.25     0.00     1223     0.00     0.00  bs_write
  0.00     10.25     0.00     1191     0.00     0.00  predict_16x16_dc_left
  0.00     10.25     0.00     1114     0.00     0.00  dct4x4dc
  0.00     10.25     0.00     1114     0.00     0.00  quant_4x4_dc
  0.00     10.25     0.00     1069     0.00     0.00  dequant_4x4_dc
  0.00     10.25     0.00     1069     0.00     0.00  idct4x4dc
  0.00     10.25     0.00      982     0.00     0.00  deblock_h_chroma_intra_c
  0.00     10.25     0.00      709     0.00     0.00  add16x16_idct
  0.00     10.25     0.00      612     0.00     0.00  predict_16x16_dc_top
  0.00     10.25     0.00      610     0.00     0.00  deblock_h_luma_intra_c
  0.00     10.25     0.00      589     0.00     0.00  deblock_v_luma_intra_c
  0.00     10.25     0.00      396     0.00     0.01  x264_mb_cache_fenc_satd
  0.00     10.25     0.00      366     0.00     0.00  add16x16_idct_dc
  0.00     10.25     0.00      363     0.00     0.00  predict_4x4_dc_left
  0.00     10.25     0.00      225     0.00     0.00  plane_copy
  0.00     10.25     0.00      225     0.00     0.00  x264_thread_sync_stat
  0.00     10.25     0.00      224     0.00     0.00  x264_frame_push
  0.00     10.25     0.00      221     0.00     0.00  x264_frame_shift
  0.00     10.25     0.00      150     0.00     0.00  x264_frame_pop_unused
  0.00     10.25     0.00      146     0.00     0.00  x264_frame_push_unused
  0.00     10.25     0.00      128     0.00     0.00  predict_4x4_dc_top
  0.00     10.25     0.00      118     0.00     0.00  predict_8x8c_dc_128
  0.00     10.25     0.00      115     0.00    89.13  Encode_frame
  0.00     10.25     0.00      115     0.00    89.04  x264_encoder_encode
  0.00     10.25     0.00       84     0.00     0.00  x264_log
  0.00     10.25     0.00       78     0.00     0.00  write_nalu_bsf
  0.00     10.25     0.00       78     0.00     0.00  x264_nal_encode
  0.00     10.25     0.00       77     0.00     0.00  x264_mdate
  0.00     10.25     0.00       76     0.00    12.92  x264_slicetype_analyse
  0.00     10.25     0.00       75     0.00     0.00  clip_qscale
  0.00     10.25     0.00       75     0.00     0.00  read_frame_yuv
  0.00     10.25     0.00       75     0.00     0.43  scenecut
  0.00     10.25     0.00       75     0.00     0.00  set_eop_bsf
  0.00     10.25     0.00       75     0.00     0.71  x264_adaptive_quant_frame
  0.00     10.25     0.00       75     0.00     0.00  x264_frame_copy_picture
  0.00     10.25     0.00       75     0.00     0.01  x264_frame_expand_border_lowres
  0.00     10.25     0.00       75     0.00     1.08  x264_frame_init_lowres
  0.00     10.25     0.00       75     0.00     0.00  x264_macroblock_slice_init
  0.00     10.25     0.00       75     0.00     0.00  x264_macroblock_tree_finish
  0.00     10.25     0.00       75     0.00     0.00  x264_noise_reduction_update
  0.00     10.25     0.00       75     0.00     0.00  x264_ratecontrol_end
  0.00     10.25     0.00       75     0.00     0.73  x264_ratecontrol_start
  0.00     10.25     0.00       75     0.00     0.60  x264_rc_analyse_slice
  0.00     10.25     0.00       75     0.00    12.92  x264_slicetype_decide
  0.00     10.25     0.00       57     0.00     0.00  predict_16x16_dc_128
  0.00     10.25     0.00       57     0.00     0.00  predict_4x4_dc_128
  0.00     10.25     0.00       45     0.00     0.00  x264_frame_delete
  0.00     10.25     0.00       45     0.00     0.00  x264_frame_new
  0.00     10.25     0.00       41     0.00     0.00  x264_encoder_delayed_frames
  0.00     10.25     0.00        9     0.00     0.00  x264_log_default
  0.00     10.25     0.00        5     0.00     0.00  x264_validate_levels
  0.00     10.25     0.00        3     0.00     0.00  x264_nal_end
  0.00     10.25     0.00        3     0.00     0.00  x264_nal_start
  0.00     10.25     0.00        2     0.00     0.00  x264_print_intra
  0.00     10.25     0.00        2     0.00     0.00  x264_sps_init
  0.00     10.25     0.00        1     0.00     0.00  close_file_bsf
  0.00     10.25     0.00        1     0.00     0.00  close_file_yuv
  0.00     10.25     0.00        1     0.00     0.00  get_frame_total_yuv
  0.00     10.25     0.00        1     0.00     0.00  mbcmp_init
  0.00     10.25     0.00        1     0.00     0.00  open_file_bsf
  0.00     10.25     0.00        1     0.00     0.00  open_file_yuv
  0.00     10.25     0.00        1     0.00     0.00  qp2qscale
  0.00     10.25     0.00        1     0.00     0.00  set_param_bsf
  0.00     10.25     0.00        1     0.00     0.00  x264_cpu_detect
  0.00     10.25     0.00        1     0.00     0.00  x264_cpu_num_processors
  0.00     10.25     0.00        1     0.00     0.00  x264_cqm_delete
  0.00     10.25     0.00        1     0.00     0.00  x264_cqm_init
  0.00     10.25     0.00        1     0.00     0.00  x264_dct_init
  0.00     10.25     0.00        1     0.00     0.00  x264_dct_init_weights
  0.00     10.25     0.00        1     0.00     0.00  x264_deblock_init
  0.00     10.25     0.00        1     0.00     0.00  x264_encoder_close
  0.00     10.25     0.00        1     0.00     0.00  x264_encoder_open
  0.00     10.25     0.00        1     0.00     0.00  x264_init_vlc_tables
  0.00     10.25     0.00        1     0.00     0.00  x264_lowres_context_alloc
  0.00     10.25     0.00        1     0.00     0.00  x264_macroblock_cache_end
  0.00     10.25     0.00        1     0.00     0.00  x264_macroblock_cache_init
  0.00     10.25     0.00        1     0.00     0.00  x264_mc_init
  0.00     10.25     0.00        1     0.00     0.00  x264_param2string
  0.00     10.25     0.00        1     0.00     0.00  x264_param_default
  0.00     10.25     0.00        1     0.00     0.00  x264_picture_alloc
  0.00     10.25     0.00        1     0.00     0.00  x264_picture_clean
  0.00     10.25     0.00        1     0.00     0.00  x264_pixel_init
  0.00     10.25     0.00        1     0.00     0.00  x264_pps_init
  0.00     10.25     0.00        1     0.00     0.00  x264_pps_write
  0.00     10.25     0.00        1     0.00     0.00  x264_predict_16x16_init
  0.00     10.25     0.00        1     0.00     0.00  x264_predict_4x4_init
  0.00     10.25     0.00        1     0.00     0.00  x264_predict_8x8_init
  0.00     10.25     0.00        1     0.00     0.00  x264_predict_8x8c_init
  0.00     10.25     0.00        1     0.00     0.00  x264_quant_init
  0.00     10.25     0.00        1     0.00     0.00  x264_ratecontrol_delete
  0.00     10.25     0.00        1     0.00     0.00  x264_ratecontrol_new
