48728    13200    348720    -161257    77
-341993    -35909    -238993    -143845    78
8256    -4171    432816    77226    79
385768    -213473    -10721    -15773    80
297304    -32575    260064    -168941    81
-350473    -158955    12832    -61623    82
-12385    -21905    407216    83768    83
-262589    -343661    -1885    -13941    84
-123905    22236    270208    -259373    85
-146125    -307545    146140    221808    86
5172    -21861    -315945    286216    87
-289521    -318977    1808    -17161    88
252236    121720    3332    350768    89
-341289    60728    -83005    -154377    90
-6209    -8953    -405689    -154297    91
382036    -109641    6268    -26329    92
-35665    -18569    134072    -370713    93
156348    284612    203424    -197449    94
-449    -17095    -451097    2858    95
308352    -309861    -833    -19225    96
-170537    225344    -342761    53868    97
49663    384612    11915    -44037    98
-5000    14620    -120511    382800    99
404500    -127555    -5133    -16405    100
82422    126728    78840    -356537    101
-129457    -326753    -188413    239936    102
-11841    2566    422192    -40751    103
56202    -439605    -7271    -2565    104
-182281    -219797    326304    -27493    105
-148677    336752    -19179    -119837    106
-10493    12386    413168    -35929    107
-387853    138776    5356    -14961    108
-29257    29224    299864    -240009    109
-219293    216140    -38021    303408    110
-13425    9880    -104593    413072    111
367776    -224719    14704    -9359    112
-263841    -104585    -135129    309912    113
235624    -304201    10480    -70445    114
11476    -19329    -43809    -407497    115
-115001    398428    20380    -31837    116
-2101    -95435    338360    -158485    117
-248129    -217813    205204    -155249    118
1292    -8985    -73147    -431145    119
-413781    124156    15940    -9671    120
-249441    63625    -355417    59829    121
-310481    -175813    -170181    -133497    122
10524    -10747    375368    207576    123
-364021    185094    12368    -20695    124
21508    -31385    -179201    -358689    125
282944    -94265    -289329    102360    126
1766    -2865    -213317    -381641    127
-51928    450124    -4874    -10981    128
-314033    24074    225608    202692    129
-415197    9289    19132    -19182    130
32032    -2029    124750    -380505    131
87669    -406061    3331    -5325    132
-32985    -227269    217064    -272105    133
-309873    219276    -258313    -28821    134
-2105    -5825    384400    -154225    135
-323209    302136    10928    -14273    136
239424    -32661    165220    -286985    137
110652    -357289    21872    -82193    138
10070    12364    -83647    -414817    139
-415369    19559    12504    -21852    140
66922    -15905    144900    357928    141
-100059    317424    -135485    -226321    142
11876    9052    -442617    132436    143
-371325    237068    -5909    -12089    144
142192    -258849    289352    116364    145
43970    373380    12922    -43093    146
-21713    -19121    -253449    332352    147
59846    415900    10450    -4117    148
-114417    74156    280288    240712    149
-302853    139564    58576    275320    150
-7239    -3337    81506    -417097    151
211236    385824    -7113    -25469    152
298512    -55989    -320425    145720    153
144884    343352    -64633    -141789    154
-18397    -14593    380304    -203317    155
-346673    -214641    16856    -30113    156
-36953    -20545    339392    190880    157
323328    -55967    285920    -22863    158
-14017    -7987    420656    -139185    159
-290837    325332    -325    -3713    160
117940    235212    -259717    -193385    161
297292    -263845    22740    -35213    162
-15373    16840    -333433    -254553    163
-436721    -85970    10824    -26342    164
146880    82767    350024    27615    165
-321353    120572    -234449    181048    166
-6577    14936    -330297    292088    167
-127371    408696    -5443    -8529    168
-260265    -36825    180684    297824    169
357924    19538    1940    -125743    170
-7593    10244    -256949    343496    171
376632    140320    17168    -19085    172
2556    47936    205244    323808    173
164264    243504    -182645    253244    174
-3715    -3037    -80897    -437201    175
-366425    206424    11272    -25717    176
-253865    141232    -326737    71716    177
-377053    -88729    23284    -65525    178
9140    -27467    383080    147468    179
307728    -274889    23536    -2969    180
-27589    -95961    173452    344512    181
-253229    215412    251880    -51701    182
1136    -21089    275728    348176    183
427252    14173    8868    -22384    184
-191081    188116    -181773    -305017    185
-136117    342840    -145653    -149849    186
13172    -24117    -408073    123212    187
377140    159860    7580    -31747    188
1464    -42448    391592    -72343    189
9880    -303537    -283225    -117809    190
11144    -12145    299696    323048    191
-206425    407716    -5759    5820    192
150024    -263165    191512    -219113    193
120138    375952    20386    -22889    194
2883    14412    108402    389544    195
-235419    -368417    -1575    -17825    196
172680    -111171    -357401    143888    197
292360    -173785    -282825    71184    198
-1423    11072    200420    374720    199
-242395    355548    14658    7276    200
-13297    237806    -351449    -8791    201
-331549    197572    -3437    -89761    202
6788    18226    396456    102590    203
-98590    399672    -15922    -22481    204
48596    34720    -194029    -339281    205
-47145    -337877    -294313    -33077    206
108    12212    -369977    -250789    207
-366185    207262    -3913    -20243    208
196832    217832    37544    -323025    209
315544    -255285    17736    -57981    210
548    -24093    -109337    -397809    211
391260    152086    5508    -20243    212
-107793    -33401    -241157    -298329    213
299316    -155465    195876    152796    214
-1197    -19539    427816    -84139    215
371836    231730    13204    -11035    216
128744    241056    329584    140272    217
20485    -362809    -96451    -162017    218
-4545    -20793    153748    393504    219
-179009    359440    11936    -39145    220
-43297    -26806    -386721    -80247    221
-211909    229476    51028    -280377    222
4528    -10179    423000    113058    223
-346413    273648    -3925    -3557    224
-275193    -31685    -177317    264232    225
-352229    -177579    23236    -39915    226
-18465    8625    396776    -31212    227
-326057    274696    -2297    -20877    228
9252    135580    -357793    -149569    229
339168    -137189    -112345    266000    230
916    -2595    -364537    -236737    231
35873    428972    7253    -17005    232
6109    -291905    98468    -321289    233
-296997    -240177    -35397    -138977    234
-13465    -4029    -290097    -330601    235
189608    -370169    16856    -27945    236
-38217    23396    -292521    -286193    237
-272897    -161253    118420    270576    238
-6821    -10125    231364    -373881    239
-367397    266632    8164    -2913    240
-87899    -260505    170100    284144    241
167258    345980    24350    -74565    242
13824    -8253    -345017    243768    243
-148279    -384345    28066    -11121    244
40714    -84345    -159533    -345633    245
179372    -259637    115304    -210945    246
9732    -12609    -152649    410488    247
340104    -256953    10512    -17013    248
-233685    -88221    -53809    354568    249
224496    -275829    -207901    -105705    250
6362    -12133    -135401    -403617    251
77662    -378217    27730    -23737    252
19580    -24053    -318705    258596    253
206096    223400    -167533    260692    254
18916    -4045    108158    415544    255
-427049    -832    -4801    -2290    256
258276    -185421    142032    270064    257
172584    -379717    6670    -24877    258
-34817    -13244    378312    -102085    259
390756    168358    2220    -2287    260
88768    221152    345192    -75481    261
34092    -356837    -252853    -50757    262
-10425    -11237    274352    318592    263
-290969    -347637    3692    -28421    264
-210441    126396    281376    -165057    265
242318    279696    9130    -80657    266
-16101    2514    329632    -259461    267
111174    -403997    -4851    -15257    268
-61877    24608    -154577    351112    269
-117983    -314825    -78235    -264721    270
-8493    -15493    -218149    -388249    271
-239377    -361561    26552    4672    272
-22745    284776    203232    242160    273
-377893    -173379    20636    -32219    274
27324    -1650    -416497    -25382    275
-426997    -32253    20044    -9209    276
83814    -111041    49450    375880    277
116142    -305545    16608    281048    278
1668    -2474    424848    -24552    279
-403825    169760    18928    12    280
-242857    129122    -350673    -46951    281
-367545    -102475    -48633    -143149    282
20088    -11747    342680    249212    283
317776    -253781    5528    -13689    284
32612    -10957    69968    387672    285
