31149 	 15555
-28291 	 -7007
13942 	 -61773
650 	 160
19479 	 -60644
2930 	 56104
610 	 208
-62580 	 -22717
-13643 	 62452
27527 	 -13979
-1453 	 88
995 	 -381
53540 	 -60712
42731 	 16259
528 	 -903
2272 	 370
61569 	 -51819
34828 	 -10148
35385 	 43090
115 	 -176
61405 	 -6406
-49660 	 -41128
-300 	 -154
12667 	 812
-29063 	 12641
-52383 	 -13540
1423 	 -4537
780 	 150
-16852 	 61579
12910 	 52293
850 	 566
894 	 -85
58276 	 -25683
-14905 	 -36913
3186 	 51599
606 	 -564
-64643 	 -11435
-37420 	 -54378
-18 	 -401
27269 	 31375
-20955 	 -18382
-14586 	 56644
1105 	 -990
990 	 217
-54113 	 -59821
-52461 	 43827
336 	 420
4254 	 298
3991 	 1394
39083 	 46593
-12083 	 -2930
877 	 -332
35956 	 15376
56081 	 -45792
749 	 -499
1860 	 -13466
-34021 	 -15998
11777 	 19597
605 	 1888
458 	 -312
-4558 	 41822
-53383 	 -60629
-539 	 -530
1920 	 -88
-57902 	 57045
46344 	 -22718
-2754 	 10222
460 	 212
47703 	 47029
31103 	 -33605
373 	 280
46568 	 6620
27309 	 -10469
47827 	 -62232
-1274 	 -732
1134 	 -249
-65172 	 -46149
53505 	 55000
821 	 -650
2374 	 428
38926 	 -43941
-42482 	 11986
-24794 	 -62588
185 	 -361
19012 	 -62383
1204 	 -35019
-229 	 -450
27484 	 -3097
-61515 	 28565
-41978 	 -64280
2847 	 -2756
625 	 189
-15371 	 59933
56906 	 -59207
360 	 739
1022 	 -216
-63686 	 45744
12121 	 -45670
25349 	 41820
771 	 -406
51230 	 34684
-33011 	 -31310
-28 	 54
21075 	 -5615
8879 	 35719
-40524 	 -49875
-57 	 -1547
1181 	 75
15083 	 -50856
18146 	 39868
878 	 53
2873 	 369
-39374 	 51898
-41035 	 16241
46188 	 -54772
540 	 -531
37860 	 41943
-13867 	 -64895
259 	 -752
30494 	 -22132
14142 	 38808
50903 	 -48907
2756 	 592
386 	 9
-36599 	 61798
12165 	 48658
-482 	 334
1465 	 -303
-29620 	 63149
-13464 	 61530
38900 	 -30425
789 	 12
-45688 	 -47997
-5855 	 -54552
781 	 18
-25131 	 3603
31870 	 136
-594 	 -14291
-1180 	 956
808 	 -443
27849 	 46375
43170 	 -3697
136 	 -981
2189 	 248
-3531 	 -63706
27622 	 40346
2524 	 -23996
149 	 14
-55020 	 -31365
43746 	 -57582
-211 	 140
7870 	 602
35764 	 20705
57180 	 -40819
-1241 	 -5783
895 	 26
-39010 	 15515
58009 	 -43658
1204 	 151
854 	 57
33558 	 -57740
45400 	 -11061
-17380 	 -13895
381 	 -623
-25825 	 55868
24290 	 -40374
206 	 -590
3059 	 -52898
28428 	 10921
-8458 	 -36376
1310 	 -266
878 	 146
-54183 	 -12602
40861 	 -40813
-47 	 312
6040 	 424
-46296 	 37499
7989 	 -48597
-4204 	 -5967
932 	 -102
56874 	 43195
-32825 	 13328
834 	 -172
43658 	 34432
59757 	 -21613
-24493 	 61712
-675 	 1494
660 	 -432
3127 	 -40721
44013 	 -2162
-164 	 -901
2111 	 127
-63454 	 51477
65388 	 17962
-43577 	 9899
237 	 129
63582 	 40890
32638 	 52974
89 	 189
116 	 24792
4164 	 -24275
63750 	 -59733
-587 	 -1408
1201 	 -40
21845 	 -52941
45961 	 1579
945 	 -207
2616 	 411
38913 	 -48975
29224 	 -38186
-20393 	 -2291
387 	 -510
38648 	 -48332
10040 	 -47728
43 	 -702
-20402 	 17616
6338 	 -13152
-6715 	 55553
3165 	 -503
449 	 111
58192 	 43347
-53934 	 -25988
-230 	 585
1281 	 -306
-30463 	 -43890
24468 	 -18502
43051 	 1221
834 	 -140
54306 	 29002
-14670 	 62253
-79 	 -234
2057 	 39400
12274 	 43395
23089 	 -2743
761 	 -1330
1074 	 200
29812 	 -6023
38982 	 -42420
578 	 356
3585 	 302
42557 	 31311
-48933 	 -23976
-20439 	 5986
777 	 -443
-39317 	 38006
32883 	 8915
602 	 -651
-14528 	 -10428
-34658 	 7242
-46925 	 -40734
1489 	 1701
389 	 -197
-28495 	 -43555
-48848 	 26777
-626 	 -210
1765 	 -197
-46972 	 41294
-2468 	 39277
158 	 11461
605 	 183
9307 	 -31989
-59645 	 -2008
554 	 238
-31224 	 48910
43173 	 3402
