Port, Packet #, Arrival Time, Inter-Packet Time, Inter-Message Time, messageType, sequenceId, embedded Time
M -> S, 126, 22.070775032, 0.000086069, 1.997925997, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6376, 1312261137.087800000
M -> S, 127, 22.994438171, 0.923663139, 1.000007153, 0x0: EVENT:SYNC, 12789, 1312261138.011535600
M -> S, 128, 22.994467974, 0.000029802, 1.999996901, 0xB: GENER:ANNOUNCE, 6394, 0.000000000
M -> S, 129, 22.994482040, 0.000014067, 1.999996901, 0x2: EVENT:PATH_DELAY_REQ, 6394, 1312261138.011593300
M -> S, 130, 22.994565010, 0.000082970, 1.000031948, 0x8: GENER:FOLLOW_UP, 12789, 1312261138.011549000
M <- S, 131, 22.995445967, 0.000880957, 1.999959946, 0x3: EVENT:PATH_DELAY_RESP, 6394, 1312261138.011409000
M <- S, 132, 22.995460033, 0.000014067, 1.999956846, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6394, 1312261138.011954100
M -> S, 133, 23.994434118, 0.998974085, 0.999995947, 0x0: EVENT:SYNC, 12790, 1312261139.011531100
M -> S, 134, 23.994536161, 0.000102043, 0.999971151, 0x8: GENER:FOLLOW_UP, 12790, 1312261139.011544900
M <- S, 135, 24.070980072, 0.076443911, 2.000484943, 0x2: EVENT:PATH_DELAY_REQ, 6377, 1312261139.087446200
M -> S, 136, 24.071175098, 0.000195026, 2.000486135, 0x3: EVENT:PATH_DELAY_RESP, 6377, 1312261139.088094000
M -> S, 137, 24.071262121, 0.000087023, 2.000487089, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6377, 1312261139.088287100
M -> S, 138, 24.994440079, 0.923177958, 1.000005960, 0x0: EVENT:SYNC, 12791, 1312261140.011537600
M -> S, 139, 24.994472027, 0.000031948, 2.000004053, 0xB: GENER:ANNOUNCE, 6395, 0.000000000
M -> S, 140, 24.994486094, 0.000014067, 2.000004053, 0x2: EVENT:PATH_DELAY_REQ, 6395, 1312261140.011597900
M -> S, 141, 24.994570017, 0.000083923, 1.000033855, 0x8: GENER:FOLLOW_UP, 12791, 1312261140.011550900
M <- S, 142, 24.995426178, 0.000856161, 1.999980211, 0x3: EVENT:PATH_DELAY_RESP, 6395, 1312261140.011441900
M <- S, 143, 24.995439053, 0.000012875, 1.999979019, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6395, 1312261140.011949100
M -> S, 144, 25.994424105, 0.998985052, 0.999984026, 0x0: EVENT:SYNC, 12792, 1312261141.011523200
M -> S, 145, 25.994523048, 0.000098944, 0.999953032, 0x8: GENER:FOLLOW_UP, 12792, 1312261141.011534900
M <- S, 146, 26.070635080, 0.076112032, 1.999655008, 0x2: EVENT:PATH_DELAY_REQ, 6378, 1312261141.087158400
M -> S, 147, 26.070832968, 0.000197887, 1.999657869, 0x3: EVENT:PATH_DELAY_RESP, 6378, 1312261141.087749000
M -> S, 148, 26.070921183, 0.000088215, 1.999659061, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6378, 1312261141.087945000
M -> S, 149, 26.994438171, 0.923516989, 1.000014067, 0x0: EVENT:SYNC, 12793, 1312261142.011535600
M -> S, 150, 26.994470119, 0.000031948, 1.999998093, 0xB: GENER:ANNOUNCE, 6396, 0.000000000
M -> S, 151, 26.994484186, 0.000014067, 1.999998093, 0x2: EVENT:PATH_DELAY_REQ, 6396, 1312261142.011596000
M -> S, 152, 26.994568110, 0.000083923, 1.000045061, 0x8: GENER:FOLLOW_UP, 12793, 1312261142.011549900
M <- S, 153, 26.995404005, 0.000835896, 1.999977827, 0x3: EVENT:PATH_DELAY_RESP, 6396, 1312261142.011426000
M <- S, 154, 26.995418072, 0.000014067, 1.999979019, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6396, 1312261142.011936900
M -> S, 155, 27.994431019, 0.999012947, 0.999992847, 0x0: EVENT:SYNC, 12794, 1312261143.011529200
M -> S, 156, 27.994532108, 0.000101089, 0.999963999, 0x8: GENER:FOLLOW_UP, 12794, 1312261143.011542100
M <- S, 157, 28.070556164, 0.076024055, 1.999921083, 0x2: EVENT:PATH_DELAY_REQ, 6379, 1312261143.087089100
