x, 0, x, fffX, x, x, x, x, x, x, x, x, xxxx, xx, xx, xx, xx, xx, xx, Xx, xxxx, xx, xx, xx
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 3, 1, f83e, f8, f8, 00, 00, 00, ff, 24, f83e, 7c, 05, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 2, 0, f805, f8, 3f, 00, 00, 00, ff, 24, f83f, 7c, 05, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 2, 0, f805, f8, 3f, 00, 00, 00, ff, 24, f83f, 7c, 05, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 2, 0, f805, 40, 3f, 00, 00, 00, ff, 24, f83f, 7c, 05, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 2, 1, f805, 40, 3f, 00, 00, 00, ff, 24, f83f, 7c, 05, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 2, 0, f806, 40, f8, 00, 00, 00, ff, 24, f83f, 7c, 40, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 2, 0, f806, 40, f8, 00, 00, 00, ff, 24, f83f, 7c, 40, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 2, 0, f806, f8, f8, 00, 00, 00, ff, 24, f83f, 7c, 40, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 2, 1, f806, f8, f8, 00, 00, 00, ff, 24, f83f, 7c, 40, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 0, 3, 0, f840, f8, 24, 00, 00, 00, ff, 24, f840, 7c, 40, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 0, 3, 0, f840, f8, 24, 00, 00, 00, ff, 24, f840, 7c, 40, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 0, 3, 0, f840, 20, 24, 00, 00, 00, ff, 24, f840, 7c, 40, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 1, 3, 1, f840, 20, 24, 00, 00, 00, ff, 24, f840, 7c, 40, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 3, 0, f841, 20, 41, 00, 00, 00, ff, 24, f841, 20, 40, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 3, 0, f841, 20, 41, 00, 00, 00, ff, 24, f841, 20, 40, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 3, 0, f841, 37, 41, 00, 00, 00, ff, 24, f841, 20, 40, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 3, 1, f841, 37, 41, 00, 00, 00, ff, 24, f841, 20, 40, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 3, 0, f842, 37, f8, 00, 00, 00, ff, 24, f842, 20, 37, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 3, 0, f842, 37, f8, 00, 00, 00, ff, 24, f842, 20, 37, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 3, 0, f842, f8, f8, 00, 00, 00, ff, 24, f842, 20, 37, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 3, 1, f842, f8, f8, 00, 00, 00, ff, 24, f842, 20, 37, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 1, 0, 01ff, 00, f8, 00, 00, 00, ff, 24, f842, 20, 37, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 1, 0, 01ff, 00, f8, 00, 00, 00, ff, 24, f842, 20, 37, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 1, 0, 01ff, 00, f8, 00, 00, 00, ff, 24, f842, 20, 37, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 1, 1, 01ff, f8, f8, 00, 00, 00, ff, 24, f842, 20, 37, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 1, 0, 01fe, f8, 42, 00, 00, 00, fe, 24, f842, 20, 37, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 1, 0, 01fe, f8, 42, 00, 00, 00, fe, 24, f842, 20, 37, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 1, 0, 01fe, 00, 42, 00, 00, 00, fe, 24, f842, 20, 37, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 1, 1, 01fe, 42, 42, 00, 00, 00, fe, 24, f842, 20, 37, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 0, 3, 0, f837, 70, 24, 00, 00, 00, fd, 24, f837, 20, 37, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 0, 3, 0, f837, 70, 24, 00, 00, 00, fd, 24, f837, 20, 37, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 0, 3, 0, f837, 60, 24, 00, 00, 00, fd, 24, f837, 20, 37, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 1, 3, 1, f837, 60, 24, 00, 00, 00, fd, 24, f837, 20, 37, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 2, 0, 01fe, 00, 38, 00, 00, 00, fd, 24, f838, 60, 37, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 2, 0, 01fe, 00, 38, 00, 00, 00, fd, 24, f838, 60, 37, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 2, 0, 01fe, 42, 38, 00, 00, 00, fd, 24, f838, 60, 37, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 2, 1, 01fe, 42, 38, 00, 00, 00, fd, 24, f838, 60, 37, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 2, 0, 01ff, 42, f8, 00, 00, 00, fe, 24, f838, 60, 42, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 2, 0, 01ff, 42, f8, 00, 00, 00, fe, 24, f838, 60, 42, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 2, 0, 01ff, f8, f8, 00, 00, 00, fe, 24, f838, 60, 42, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 2, 1, 01ff, f8, f8, 00, 00, 00, fe, 24, f838, 60, 42, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 0, 3, 0, f843, fe, 24, 00, 00, 00, ff, 24, f843, 60, 42, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 0, 3, 0, f843, fe, 24, 00, 00, 00, ff, 24, f843, 60, 42, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 0, 3, 0, f843, ea, 24, 00, 00, 00, ff, 24, f843, 60, 42, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 1, 3, 1, f843, ea, 24, 00, 00, 00, ff, 24, f843, 60, 42, f8
1, 0, 0, fffc, 1, 1, 5, 0, 0, 0, 3, 0, f844, ea, 24, 00, 00, 00, ff, 24, f844, ea, 42, f8
1, 0, 0, fffc, 1, 1, 5, 0, 0, 0, 3, 0, f844, ea, 24, 00, 00, 00, ff, 24, f844, ea, 42, f8
1, 0, 0, fffc, 1, 1, 5, 0, 0, 0, 3, 0, f844, 80, 24, 00, 00, 00, ff, 24, f844, ea, 42, f8
1, 0, 0, fffc, 1, 1, 5, 0, 0, 1, 3, 1, f844, 80, 24, 00, 00, 00, ff, 24, f844, ea, 42, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 3, 0, f845, 80, 45, 00, 00, 00, ff, 24, f845, 80, 42, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 3, 0, f845, 80, 45, 00, 00, 00, ff, 24, f845, 80, 42, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 3, 0, f845, 1f, 45, 00, 00, 00, ff, 24, f845, 80, 42, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 3, 1, f845, 1f, 45, 00, 00, 00, ff, 24, f845, 80, 42, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 0, 3, 0, f865, 1f, 24, 00, 00, 00, ff, 24, f865, 80, 1f, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 0, 3, 0, f865, 1f, 24, 00, 00, 00, ff, 24, f865, 80, 1f, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 0, 3, 0, f865, 80, 24, 00, 00, 00, ff, 24, f865, 80, 1f, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 1, 3, 1, f865, 80, 24, 00, 00, 00, ff, 24, f865, 80, 1f, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 3, 0, f866, 80, 66, 00, 00, 00, ff, 24, f866, 80, 1f, f8
