SINE, COSINE
5800: 1/sqrt(x)=1.681519 (1.680722)
6000: sqrt=0.604908 (0.605154)
6000: 1/sqrt(x)=1.653198 (1.652473)
6200: sqrt=0.614636 (0.615157)
6200: 1/sqrt(x)=1.626831 (1.625602)
6400: sqrt=0.624659 (0.625000)
6400: 1/sqrt(x)=1.601196 (1.600000)
6600: sqrt=0.634387 (0.634691)
6600: 1/sqrt(x)=1.576538 (1.575571)
6800: sqrt=0.644042 (0.644235)
6800: 1/sqrt(x)=1.552856 (1.552228)
7000: sqrt=0.653475 (0.653641)
7000: 1/sqrt(x)=1.530640 (1.529893)
7200: sqrt=0.662687 (0.662913)
7200: 1/sqrt(x)=1.508911 (1.508494)
7400: sqrt=0.671531 (0.672057)
7400: 1/sqrt(x)=1.489380 (1.487970)
7600: sqrt=0.680890 (0.681078)
7600: 1/sqrt(x)=1.468872 (1.468261)
7800: sqrt=0.689734 (0.689981)
7800: 1/sqrt(x)=1.450073 (1.449315)
8000: sqrt=0.698430 (0.698771)
8000: 1/sqrt(x)=1.431763 (1.431084)
8200: sqrt=0.707200 (0.707452)
8200: 1/sqrt(x)=1.414185 (1.413524)
8400: sqrt=0.715676 (0.716027)
8400: 1/sqrt(x)=1.397583 (1.396594)
8600: sqrt=0.724225 (0.724501)
8600: 1/sqrt(x)=1.380737 (1.380259)
8800: sqrt=0.732552 (0.732877)
8800: 1/sqrt(x)=1.365112 (1.364485)
9000: sqrt=0.740880 (0.741159)
9000: 1/sqrt(x)=1.349731 (1.349238)
9200: sqrt=0.749061 (0.749349)
9200: 1/sqrt(x)=1.335327 (1.334492)
9400: sqrt=0.757462 (0.757450)
9400: 1/sqrt(x)=1.320190 (1.320219)
9600: sqrt=0.765127 (0.765466)
9600: 1/sqrt(x)=1.307251 (1.306395)
9800: sqrt=0.772939 (0.773398)
9800: 1/sqrt(x)=1.293823 (1.292995)
10000: sqrt=0.781193 (0.781250)
10000: 1/sqrt(x)=1.280151 (1.280000)
10200: sqrt=0.788931 (0.789024)
10200: 1/sqrt(x)=1.267456 (1.267389)
10400: sqrt=0.796743 (0.796722)
10400: 1/sqrt(x)=1.255005 (1.255143)
10600: sqrt=0.804113 (0.804346)
10600: 1/sqrt(x)=1.243774 (1.243246)
10800: sqrt=0.811630 (0.811899)
10800: 1/sqrt(x)=1.232300 (1.231681)
11000: sqrt=0.818926 (0.819382)
11000: 1/sqrt(x)=1.221069 (1.220432)
11200: sqrt=0.826590 (0.826797)
11200: 1/sqrt(x)=1.209839 (1.209486)
11400: sqrt=0.834034 (0.834147)
11400: 1/sqrt(x)=1.199097 (1.198830)
11600: sqrt=0.841256 (0.841432)
11600: 1/sqrt(x)=1.188599 (1.188450)
11800: sqrt=0.848331 (0.848655)
11800: 1/sqrt(x)=1.178833 (1.178336)
12000: sqrt=0.855627 (0.855816)
12000: 1/sqrt(x)=1.168823 (1.168475)
12200: sqrt=0.862628 (0.862919)
12200: 1/sqrt(x)=1.159302 (1.158858)
12400: sqrt=0.869851 (0.869963)
12400: 1/sqrt(x)=1.149536 (1.149474)
12600: sqrt=0.876778 (0.876951)
12600: 1/sqrt(x)=1.140503 (1.140315)
12800: sqrt=0.883337 (0.883883)
12800: 1/sqrt(x)=1.132202 (1.131371)
13000: sqrt=0.890633 (0.890762)
13000: 1/sqrt(x)=1.122925 (1.122634)
13200: sqrt=0.897561 (0.897588)
13200: 1/sqrt(x)=1.114380 (1.114097)
13400: sqrt=0.904267 (0.904362)
13400: 1/sqrt(x)=1.105835 (1.105752)
13600: sqrt=0.910900 (0.911086)
13600: 1/sqrt(x)=1.097778 (1.097591)
13800: sqrt=0.917459 (0.917761)
13800: 1/sqrt(x)=1.089966 (1.089608)
14000: sqrt=0.924166 (0.924387)
14000: 1/sqrt(x)=1.082153 (1.081797)
14200: sqrt=0.930356 (0.930967)
14200: 1/sqrt(x)=1.074829 (1.074152)
14400: sqrt=0.937063 (0.937500)
14400: 1/sqrt(x)=1.067017 (1.066667)
14600: sqrt=0.943622 (0.943988)
14600: 1/sqrt(x)=1.059937 (1.059336)
14800: sqrt=0.950107 (0.950432)
14800: 1/sqrt(x)=1.052612 (1.052154)
15000: sqrt=0.956371 (0.956832)
15000: 1/sqrt(x)=1.045776 (1.045116)
15200: sqrt=0.963004 (0.963190)
15200: 1/sqrt(x)=1.038696 (1.038217)
15400: sqrt=0.969342 (0.969506)
15400: 1/sqrt(x)=1.031616 (1.031453)
15600: sqrt=0.975533 (0.975781)
15600: 1/sqrt(x)=1.025024 (1.024820)
15800: sqrt=0.981944 (0.982016)
15800: 1/sqrt(x)=1.018433 (1.018313)
16000: sqrt=0.987766 (0.988212)
16000: 1/sqrt(x)=1.012085 (1.011929)
